name,phone,website,city,state,description,services_confirmed,roadside_confirmed,open_24_7_confirmed,response_time,service_area,truck_classes,brands_certs,fleet_cards,emergency_phone,still_real_truck_shop,data_confidence
Bellemont Truck Repair and Towing,+1 928-214-0700,http://www.bellemonttruckrepair.com/,Bellemont,AZ,Bellemont Truck Repair LLC. Bellemont Truck Repair & Towing Inc.,"roadside,engine,cooling,tire,trailer,rv,electrical",yes,no,,,,,,(928) 214-0700,yes,high
RV Country ( Flagstaff ),+1 928-526-6771,https://rvcountry.com/contact/locations/flagstaff/,Bellemont,AZ,"Flagstaff, AZ I RV Country Skip to content LET US SELL YOUR RV VIRTUAL TOURS AVAILABLE HOW MUCH CAN I TOW? RV SERVICE REQUEST OUR LOCATIONS Shop RVs N...","roadside,engine,tire,trailer,rv",yes,no,,,,,,(928) 526-6771,yes,high
Vanguard Truck Centers,+1 928-310-8584,https://vanguardtrucks.com/location/arizona/flagstaff/,Bellemont,AZ,"Truck Sales, Parts & Service in Flagstaff, Arizona | Vanguard Downtime Is Expensive—Here’s How Fleets Avoid It News Employment Contact Us Trucks Shop ...",rv,yes,no,,,,,,(928) 310-8584,yes,high
Elite Diesel and Fleet Copper Canyon,+1 928-777-9777,https://elitedieselandfleet.com/,Camp Verde,AZ,Trusted Truck and Tour Bus Repair Services - Elite Diesel and Fleet Elite Diesel and Fleet24HR Roadside RepairElite Diesel and Fleet 24HR Roadside Rep...,"roadside,engine,trailer,rv",yes,no,,,,,,,yes,high
Accu-Brake Flagstaff 4X4,+1 928-527-0270,http://www.flagstaff4x4.com/,Flagstaff,AZ,Flagstaff 4x4 and Accu-Brake Home Customer Feedback Parts and Accessories Contact Us Accu-Brake: (928) 527-0270 Flagstaff 4x4: (928) 526-0640 Welcome ...,"engine,rv,brakes,electrical",no,no,,,,,,(928) 527-0270,yes,medium
American Trailer Company,+1 928-440-4742,http://www.americantraileraz.com/,Flagstaff,AZ,"Home - American Trailer Company Skip to content 5085 US - 220 BUS Bedford, PA 15522 (814) 623-5463 11850 N. Hwy 89 Flagstaff, AZ 86004 (928) 440-4742 ...","engine,tire,trailer,rv,brakes,electrical",no,no,,,,,,(814) 623-5463,yes,medium
Coconino Motors Napa AutoCare Center Auto & Light Truck Repair,+1 928-774-4408,http://coconinomotors.com/,Flagstaff,AZ,"Auto Repair in Flagstaff | Coconino Motors (928) 774-4408 1141 W Kaibab Lane Flagstaff, AZ 86001 [GEOTITLE] [GEOADDRESSONE] [GEOADDRESSTWO] [GEOPHONE]...","engine,cooling,tire,rv,brakes,electrical",no,no,,,,,,(928) 774-4408,yes,medium
Complete Car Care,+1 928-526-1026,https://completecarcareflagstaff.com/,Flagstaff,AZ,"Home - Complete Car Care | Flagstaff, AZ 2710 East Rte 66 | Flagstaff (928) 526-1026 Search ..","roadside,engine,cooling,rv,brakes,electrical",yes,no,,,,,,(928) 526-1026,yes,high
Flag Tool Equipment Repair,+1 928-773-9185,http://flagtoolequipmentrepair.com/,Flagstaff,AZ,,,no,no,,,,,,,yes,low
Flag Truck Center,+1 928-714-9062,http://www.flagtruckcenter.com/,Flagstaff,AZ,"Flag Truck Center - Flagstaff, AZ Large Truck Repair Skip to content Flag Truck Center Flag Truck Center Menu Home Contact Us Open M-F 7am-8pm —-Sat 8...","engine,trailer,rv",no,no,,,,,,(928) 714-9062,yes,medium
